Psgc	Region	Province	Town	Barangay
137604007	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	B. F. HOMES
137403029	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	UGONG
137602002	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	BEL-AIR
137602013	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	MAGALLANES
137602025	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	SAN LORENZO
137602021	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	POST PROPER NORTHSIDE
137404080	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	PASONG TAMO
137603004	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	CUPANG
137405021	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF SAN JUAN	GREENHILLS
137403001	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF PASIG	BAGONG ILOG
137404011	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	BAGUMBAYAN
137602010	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	GUADALUPE VIEJO
137601001	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF LAS PINAS	ALMANZA UNO
137602030	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	URDANETA
137603001	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	ALABANG
137602022	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	POST PROPER SOUTHSIDE
137603009	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	NEW ALABANG VILLAGE
137602008	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	FORBES PARK
137404126	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	UGONG NORTE
137404060	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	MARIANA
137604005	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF PARANAQUE	SANTO NINO
137601010	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF LAS PINAS	ALMANZA DOS
137404134	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	WHITE PLAINS
137602006	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	DASMARINAS
137404066	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	QUEZON CITY	MATANDANG BALARA
133905009	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 305
43428020	REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	SANTO DOMINGO
137401027	NCR - NATIONAL CAPITAL REGION	"NCR, SECOND DISTRICT (Not a Province)"	CITY OF MANDALUYONG	WACK-WACK GREENHILLS
137602001	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	BANGKAL
137607005	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	TAGUIG CITY	HAGONOY
43405011	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	CANLUBANG
43405031	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	MAUNONG
133906202	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAMPALOC	BARANGAY 595
137603006	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	PUTATAN
42103028	REGION IV-A (CALABARZON)	CAVITE	BACOOR CITY	QUEENS ROW WEST
43405047	REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	PUTING LUPA
137602017	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MAKATI	PINAGKAISAHAN
133902005	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 291
137603005	NCR - NATIONAL CAPITAL REGION	"NCR, FOURTH DISTRICT (Not a Province)"	CITY OF MUNTINLUPA	POBLACION
133902003	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	BINONDO	BARANGAY 289
133903018	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	QUIAPO	BARANGAY 309
133905007	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SANTA CRUZ	BARANGAY 303
133904014	NCR - NATIONAL CAPITAL REGION	"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)"	SAN NICOLAS	BARANGAY 281
